[2026-07-23T11:55:37.275Z] GET http://localhost:3177/ → 200 (6ms, 66394B)
[2026-07-23T11:55:37.286Z] GET http://localhost:3177/assets/fonts/manrope-700-cyrillic.woff2 → 200 (14ms, 14544B)
[2026-07-23T11:55:37.286Z] GET http://localhost:3177/assets/fonts/manrope-400-cyrillic.woff2 → 200 (14ms, 14544B)
[2026-07-23T11:55:37.286Z] GET http://localhost:3177/assets/logo.svg → 200 (13ms, 20479B)
[2026-07-23T11:55:37.305Z] GET http://localhost:3177/assets/fonts/manrope-600-cyrillic.woff2 → 200 (24ms, 14544B)
[2026-07-23T11:55:37.305Z] GET http://localhost:3177/assets/fonts/manrope-600-latin.woff2 → 200 (24ms, 24576B)
[2026-07-23T11:55:37.305Z] GET http://localhost:3177/assets/fonts/manrope-800-cyrillic.woff2 → 200 (24ms, 14544B)
[2026-07-23T11:55:37.305Z] GET http://localhost:3177/assets/fonts/manrope-700-latin.woff2 → 200 (28ms, 24576B)
[2026-07-23T11:55:37.305Z] GET http://localhost:3177/assets/fonts/manrope-400-latin.woff2 → 200 (25ms, 24576B)
[2026-07-23T11:55:37.305Z] GET http://localhost:3177/assets/fonts/manrope-800-latin.woff2 → 200 (29ms, 24576B)
[2026-07-23T11:55:37.306Z] GET http://localhost:3177/assets/fonts/manrope-500-cyrillic.woff2 → 200 (27ms, 14544B)
[2026-07-23T11:55:37.328Z] GET http://localhost:3177/assets/fonts/manrope-500-latin.woff2 → 200 (13ms, 24576B)
